query,answer_title
코오롱스포츠,‘코오롱스포츠’ 물에 강한 ‘알파다운’으로 백패킹족 공략
BYC 신제품,"BYC, 붉은 말의 해 맞아 ‘레드행운팬티’ 선봬"
감탄 브라,"""‘감탄’ 겨울 이너웨어 판매 급증"""
푸마,"""‘푸마’ 새로운 로우 프로파일 스니커즈 ‘태클’ 출시"""
신티에스 기능성 의류,"신티에스, '소재의 본질'에 집중하다 프리미어 기능성 의류 '신즈' 신규 런칭 순항"","
로제도르 새해 신제품,"'로제도르' 병오년 새해 1월 신규 캠페인 전개빛의 패턴 담은 신제품 라티스 · 패싯도르 컬렉션 출시"","
젝시미스 판매량,"""‘젝시믹스’ 기능성 이너웨어 라인업 확대12월 판매량 전년 동기 대비 2배↑"","
디스커버리키즈 신학기룩," ""‘디스커버리 키즈’ 신학기룩 가볍고 힙하게 완성신학기 책가방 ‘라이크 에어’ 화보 공개"""
버커루 라인업,"""‘버커루’ 바이크·스피드 헤리티지 담은 라인업 인기"""
올리비아로렌 소식,"""‘올리비아로렌’ 겨울 아우터 AI 화보 공개"""
먼싱웨어 니트,"""‘먼싱웨어’ 홀가먼트 캐시미어 니트 판매 호조연말 시즌 겨냥 ‘레드’ 컬러 추가 출시"""
데카트론 운정점,"""‘데카트론’ 스타필드 빌리지 운정점 오픈러닝센터 도입과 체험형 프로그램 강화"""
스케쳐스 미국,"""'스케쳐스USA'  데일리∙포멀 모두 매출 상승TVC 이후 매출∙인지도 모두 상승하며 브랜드 존재감 강화"""
스파오 컬렉션,"""‘스파오’ 999휴머니티 협업 컬렉션 공개일상 속 진정한 편안함 담은 ‘베드 파이터’ 컬렉션 선봬"""
MLB 신학기," ""‘MLB키즈’ 초경량 무게로 완성한 신학기 책가방 공개감각적인 디테일과 실용성 강화"""
아이더 다운,"""‘아이더’ 극한 추위 걱정 없는 테크니컬 다운 선봬"""
세잔 원피스,"""‘세잔’ 홀리데이 컬렉션 선봬스팽글 블라우스와 원피스, 다양한 액세서리 라인업"""
어그 신제품," ""‘어그’ 신제품 완판 행진"""
듀베티카 윈터,"""‘듀베티카’ 윈터 컬렉션 프레젠테이션 성료프리미엄 윈터 리조트 무드로 표현하는 프리미엄 패딩 선봬"""
안다르 패션필름,"""안다르, ‘스트레치유어스토리’ 영상 캠페인 화제베를린 패션필름 페스티벌 노미네이트"""
